index,year,brand,superbowl_ads_dot_com_url,youtube_url,Genre,funny,show_product_quickly,patriotic,celebrity,danger,animals,use_sex,likes,dislikes,ratio,theme,theme_2,altruistic/consumerist
60,2016,Hynudai,https://superbowl-ads.com/hyundai-2016-super-bowl-50-ad-ryanville/,https://www.youtube.com/watch?v=wBcijELzZi4,Automotive,yes,yes,no,yes,no,yes,yes,150,6,0.96,,,consumerist
61,2009,Doritos,https://superbowl-ads.com/2009-doritos-new-flavor-pitch/,https://www.youtube.com/watch?v=qKKpRhFcKBk,Chips,yes,yes,no,no,no,no,no,123,10,0.92,,,consumerist
62,2010,Doritos,https://superbowl-ads.com/hd-exclusive-doritos-samurai-2010-super-bowl-44-xliv-commercial-ad/,https://www.youtube.com/watch?v=1ww1k7w4WQ8,Chips,yes,yes,no,no,yes,no,no,1300,33,0.98,,,consumerist
63,2015,Doritos,https://superbowl-ads.com/2015-doritos-middle-seat/,https://www.youtube.com/watch?v=2JqRXLQYF9o,Chips,yes,no,no,no,no,no,yes,3200,240,0.93,together,,consumerist
64,2007,Coca-Cola,https://superbowl-ads.com/2007-coca-cola-video-game/,https://www.youtube.com/watch?v=3Tnm53uXIvg,Soft Drink,no,yes,yes,no,yes,yes,no,456,50,0.9,inspirational,,consumerist
65,2019,Toyota,https://superbowl-ads.com/2019-toyota-supra-wizard/,https://www.youtube.com/watch?v=ZuBbnZ3UbJw,Automotive,no,yes,no,no,no,no,no,,,,informative,,consumerist
66,2002,Budweiser,https://superbowl-ads.com/2002-budweiser-how-ya-doin/,https://www.youtube.com/watch?v=mhEYXcCB1Qw,Beer,yes,yes,no,no,no,no,no,423,9,0.98,together,,consumerist
67,2014,Coca-Cola,https://superbowl-ads.com/2014-coca-going-all-the-way/,https://www.youtube.com/watch?v=nO-8ZY7p95o,Soft Drink,yes,no,no,no,no,no,no,17,5,0.77,together,inspirational,consumerist
68,2004,Budweiser,https://superbowl-ads.com/2004-budweiser-referee/,https://www.youtube.com/watch?v=uO-E2T1hayU,Beer,yes,no,no,no,no,no,no,,,,,,consumerist
69,2016,Coca-Cola,https://superbowl-ads.com/coca-cola-mini-2016-super-bowl-50-ad-hulk-vs-ant-man/,https://www.youtube.com/watch?v=sMkGwCw7iv8,Soft Drink,yes,yes,no,yes,yes,no,no,260000,8100,0.97,nostalgia,,consumerist
70,2015,Budweiser,https://superbowl-ads.com/2015-budweiser-clydesdale-beer-run/,https://www.youtube.com/watch?v=5tso0er4EUI,Beer,yes,yes,no,no,yes,yes,no,23,4,0.85,,,consumerist
71,2016,Hynudai,https://superbowl-ads.com/hyundai-2016-super-bowl-50-ad-first-date/,https://www.youtube.com/watch?v=KwUUdl22mkA,Automotive,yes,no,no,yes,no,no,no,3000,51,0.98,informative,family,consumerist
72,2001,Bud Light,https://superbowl-ads.com/2001-bud-light-pencil-pusher/,https://www.youtube.com/watch?v=J89vbNUzhIE,Beer,yes,no,no,no,yes,no,yes,389,12,0.97,,,consumerist
73,2003,Bud Light,https://superbowl-ads.com/2003-bud-light-strongman/,https://www.youtube.com/watch?v=_cEQ5g6bzdM,Beer,yes,yes,no,no,yes,no,no,55,3,0.95,together,,consumerist
74,2000,Bud Light,https://superbowl-ads.com/2000-bud-light-hold-the-door/,https://www.youtube.com/watch?v=M3IV93HwSkc,Beer,yes,yes,no,no,yes,no,no,8,0,1,together,,consumerist
75,2018,Coca-Cola,https://superbowl-ads.com/2018-coca-cola-super-bowl-ad-wonder-us/,https://www.youtube.com/watch?v=ucCvhK2CZMo,Soft Drink,no,yes,yes,no,no,no,no,,,,inspirational,together,consumerist
76,2001,Pepsi,https://superbowl-ads.com/2001-pepsi-subway-miracle/,https://www.youtube.com/watch?v=1nmPv4M8Ps8,Soft Drink,yes,no,no,no,no,no,yes,6,4,0.6,inspirational,,consumerist
77,2014,Doritos,https://superbowl-ads.com/2014-doritos-cowboy-kid/,https://www.youtube.com/watch?v=1X_M47SQF6s,Chips,yes,yes,no,no,yes,yes,no,47,5,0.9,family,together,consumerist
78,2016,Budweiser,https://superbowl-ads.com/budweiser-2016-super-bowl-50-ad-simply-put/,https://www.youtube.com/watch?v=Le_2S2db0Bk,Beer,no,yes,no,yes,no,no,no,,,,informative,,altruistic
79,2004,Budweiser,https://superbowl-ads.com/2004-budweiser-donkey/,https://www.youtube.com/watch?v=pmmsr7PAhWU,Beer,no,yes,yes,no,no,yes,no,3800,110,0.97,,,consumerist
80,2015,Budweiser,https://superbowl-ads.com/budweiser-2015-super-bowl-xlix-ad-brewed-the-hard-way/,https://www.youtube.com/watch?v=7_EfXuGev24,Beer,no,yes,yes,no,no,yes,no,,,,together,,consumerist
81,2016,Kia,https://superbowl-ads.com/kia-optima-2016-super-bowl-50-ad-walken-closet/,https://www.youtube.com/watch?v=rBkPXt-OpA4,Automotive,yes,no,no,yes,no,no,no,145,3,0.98,inspirational,,consumerist
82,2017,Budweiser,https://superbowl-ads.com/2017-budweiser-super-bowl-51-li-tv-commercial-born-hard-way/,https://www.youtube.com/watch?v=HtBZvl7dIu4,Beer,no,no,yes,no,yes,no,no,48000,17000,0.74,nostalgia,together,consumerist
83,2000,Budweiser,https://superbowl-ads.com/2000-budweiser-talking-dog/,,Beer,yes,no,no,no,no,yes,no,,,,,,consumerist
84,2009,Coca-Cola,https://superbowl-ads.com/2009-coca-cola-heist/,https://www.youtube.com/watch?v=icV7fGqPZ2I,Soft Drink,no,yes,no,no,no,yes,no,1900,332,0.85,together,,consumerist
85,2015,Doritos,https://superbowl-ads.com/doritos-2015-super-bowl-xlix-ad-when-pigs-fly/,https://www.youtube.com/watch?v=YQo0TfuueaY,Chips,yes,yes,yes,no,no,yes,no,2300,166,0.93,inspirational,,consumerist
86,2004,Toyota,https://superbowl-ads.com/2004-toyota-revenge/,https://www.youtube.com/watch?v=5uLJitPWAXM,Automotive,yes,yes,no,no,yes,no,no,1100,16,0.99,,,consumerist
87,2016,NFL,https://superbowl-ads.com/nfl-2016-super-bowl-50-ad-super-bowl-babies-choir/,https://www.youtube.com/watch?v=9KqekigARfE,Football,no,no,yes,yes,no,no,no,21000,2000,0.91,nostalgia,family,consumerist
88,2017,Hynudai,https://superbowl-ads.com/2017-hyundai-super-bowl-51-li-tv-commercial-better-super-bowl/,https://www.youtube.com/watch?v=KpN6fxOorwE,Automotive,no,no,yes,no,no,no,no,,,,together,,altruistic
89,2012,Bud Light,https://superbowl-ads.com/2012-bud-light-rescue-dog/,https://www.youtube.com/watch?v=Qr3GJqccGi4,Beer,yes,yes,no,no,no,yes,yes,45,3,0.94,together,,consumerist
90,2008,Budweiser,https://superbowl-ads.com/2008-budweiser-dalmatian-trains-hank-for-team/,https://www.youtube.com/watch?v=odpagg0jV6I,Beer,no,yes,yes,no,no,yes,no,363,8,0.98,,,consumerist
91,2013,Hynudai,https://superbowl-ads.com/video-hyundai-2013-super-bowl-xlvii-ad-santafe-team/,https://www.youtube.com/watch?v=jvm68nEAU7o,Automotive,yes,yes,no,no,yes,yes,no,1100,14,0.99,family,,consumerist
92,2010,Doritos,https://superbowl-ads.com/hd-exclusive-casket-funeral-doritos-2010-super-bowl-44-xliv-commercial-ad/,https://www.youtube.com/watch?v=2IhJl7mBtls,Chips,yes,yes,no,no,no,no,no,26,0,1,,,consumerist
93,2016,Bud Light,https://superbowl-ads.com/bud-light-2016-super-bowl-50-ad-the-bud-light-party/,https://www.youtube.com/watch?v=e0ez2t6oRWY,Beer,yes,yes,yes,yes,no,yes,no,,,,together,,consumerist
94,2019,Toyota,https://superbowl-ads.com/2019-toyota-toni-with-antoinette-harris/,https://www.youtube.com/watch?v=wegrVsP3gK4,Automotive,no,yes,no,no,no,no,no,44,16,0.73,inspirational,,consumerist
95,2009,Bud Light,https://superbowl-ads.com/2009-bud-light-meeting/,https://www.youtube.com/watch?v=L1fL0ZHX2t0,Beer,yes,yes,no,no,yes,no,no,196,8,0.96,,,consumerist
96,2019,Budweiser,https://superbowl-ads.com/2019-budweiser-wind-never-felt-better/,,Beer,no,no,no,no,no,yes,no,,,,together,,altruistic
97,2003,Bud Light,https://superbowl-ads.com/2003-bud-light-yoga/,https://www.youtube.com/watch?v=bcV8WN1YIL4,Beer,yes,yes,no,no,no,no,yes,63,18,0.78,,,consumerist
98,2019,Coca-Cola,https://superbowl-ads.com/2019-coca-cola-a-coke-is-a-coke/,https://www.youtube.com/watch?v=WTqL_giKNHQ,Soft Drink,no,yes,yes,no,no,yes,no,441,58,0.88,together,,consumerist
99,2012,Hynudai,https://superbowl-ads.com/2012-hyundai-genesis-heart/,https://www.youtube.com/watch?v=UxQKSCpOIOI,Automotive,yes,yes,no,no,yes,no,no,6,0,1,informative,,consumerist
100,2011,Hynudai,https://superbowl-ads.com/2011-hyundai-super-bowl-commercial-hypnotized-video/,https://www.youtube.com/watch?v=5ofcQl6gWeE,Automotive,yes,no,no,no,no,no,no,,,,informative,,consumerist
101,2015,Kia,https://superbowl-ads.com/2015-kia-sorento-the-perfect-getaway-with-pierce-bros/,https://www.youtube.com/watch?v=nayeYTmEdYw,Automotive,yes,yes,no,yes,yes,yes,yes,77,2,0.97,nostalgia,,consumerist
102,2014,Budweiser,https://superbowl-ads.com/2014-budweiser-a-heros-welcome/,https://www.youtube.com/watch?v=XxfxB0O9Uuk,Beer,no,no,yes,no,no,yes,no,,,,together,,altruistic
